Input,Target
"well, it's not up to you to decide whether she's innocent or not.  don't you understand, that's why you're a professional.","but, i mean, didn't you ever go out on a limb for somebody?  i mean, you shoulda heard her there.  tellin' her whole story...i believed her."
"but, i mean, didn't you ever go out on a limb for somebody?  i mean, you shoulda heard her there.  tellin' her whole story...i believed her.","how you go out on a limb for somebody is by giving her a number of an immigration lawyer.  here, here's a number of an immigration lawyer.  that's how you help her. but you can't get involved in her like that.  you're gonna jeopardize your career, your life and you're gonna jeopardize my case.  and lemme give you another piece of advice.  maybe you don't watch tv but i'll let you in on a little secret - the whole fuckin' world watches television.  and when you get out there, they know your face.  and the little fame, the little fuckin' itty bitty fame that i get in this city makes it a lot easier for my job.  and i get more done because of it."
why'd you help me back there with the chief?  why'd you stand up for me like that?,"you know, i don't know.  i like you. you remind me of a puppy i used to have. he pissed on the rug all the time, but i still kept him."
so...who's nicky?,what do you want?
what do you want?,"your opinion.  you see, they going to make a movie about me, too, eddie.  and write books."
"your opinion.  you see, they going to make a movie about me, too, eddie.  and write books.",what's your accomplishment.
what's your accomplishment.,i kill someone famous.
i kill someone famous.,"then do it, asshole."
"then do it, asshole.",good - be tough to the end.  actor who plays you will want to die like hero.
so tabloids don't have to do re enactments.  they going to have real movie this time.,if you kill me and film it you're putting a noose around your neck.
you really think you'll be able to fool a jury with this bullshit?  how fuckin' stupid are you?,"smarter than americans.  you're fed cry baby talk shows all day long.  not only will americans believe me, they'll cry for me.  so...detective eddie flemming, would you like to say goodbye to your nicolette? maybe you can propose to her now?"
"detective, does it look like a murder?",we don't know that yet.  it's much too early.  there's a lot to be done.
we don't know that yet.  it's much too early.  there's a lot to be done.,how many victims are up there?
how many victims are up there?,there are two bodies found at this point.
there are two bodies found at this point.,can we go up to the crime scene?
can we go up to the crime scene?,you know you can't do that.  c'mon.
you know you can't do that.  c'mon.,is it drug related?
is it drug related?,we don't know.  when i have more i'll let you know.
detective - can you tell us what happened here?,i can't talk right now.  we have some things to take care of.
"i understand, but i noticed that the fire marshall is here with you.  is this somehow related to the fire department?",i really can't give out any information right now at this point.
i really can't give out any information right now at this point.,"okay.  but i do understand that your partner, leon jackson's been injured. is that correct?"
"okay.  but i do understand that your partner, leon jackson's been injured. is that correct?","he was hurt, but not seriously.  he'll be fine."
"he was hurt, but not seriously.  he'll be fine.",do you have the suspect in custody?
do you have the suspect in custody?,"um...now is not a good time, okay. detective jackson's hurt.  he's fine. i've got a fire marshall shot, detective jackson is hurt but not seriously."
"um...now is not a good time, okay. detective jackson's hurt.  he's fine. i've got a fire marshall shot, detective jackson is hurt but not seriously.","alright, cut, cut, cut."
"eddie, are you okay?",yeah.  now's not a good time.
yeah.  now's not a good time.,alright.
alright.,alright?
alright?,alright.
alright.,alright.
alright.,okay.
"hey, honey.",hey.
what is your problem?  why'd you snap at me?  i just wanted a statement.,i can't...i can't answer you just because you want me to answer you!
i can't...i can't answer you just because you want me to answer you!,you didn't have to embarrass me in front of my colleagues.  you could give me something.
you didn't have to embarrass me in front of my colleagues.  you could give me something.,"oh, i'm sorry.  did i embarrass you, sweetheart?  oh..."
"oh, i'm sorry.  did i embarrass you, sweetheart?  oh...",stop it.
stop it.,"maybe i should just, ya know...turn to the cameras and say, do you mind if we just work something out?"
"maybe i should just, ya know...turn to the cameras and say, do you mind if we just work something out?","alright, alright, eddie.  don't patronize me."
"alright, alright, eddie.  don't patronize me.",i'm not.
i'm not.,yes you are.  i'm not just some reporter.  i don't just stick a microphone in your face.  you could give me something.
yes you are.  i'm not just some reporter.  i don't just stick a microphone in your face.  you could give me something.,"yeah, well you took the camera and put it right down on the evidence.  that was..."
"yeah, well you took the camera and put it right down on the evidence.  that was...",that was good.  you were holding the evidence.
that was good.  you were holding the evidence.,you were merciless.  you didn't give a shit if you got me or not.
you were merciless.  you didn't give a shit if you got me or not.,"well, who was it that taught me how to do that?  huh?"
"well, who was it that taught me how to do that?  huh?",you're ruthless.
you're ruthless.,you're not so bad yourself.
look at this.  you have blood on your shirt.  whose is it?,could be leon's.
could be leon's.,jesus.  and last week you came over with blood on your shoes.  what am i going to do with you?
don't worry about the damn phone.  i won't answer it.,answer the phone.
answer the phone.,no.  tell me what you want to say.
no.  tell me what you want to say.,answer it.
answer it.,okay.  okay.  hold that thought just for a second.  they only call me when it's an emergency.  just hold that thought.  can you call back?
"oh my g-d, they want me to anchor.  they want me to anchor tonight!",that's good.
that's good.,yeah.
yeah.,"well, that's great."
"well, that's great.","okay.  that is great.  but i can't go now, we're in the middle of something here."
"okay.  that is great.  but i can't go now, we're in the middle of something here.",no.  go ahead.  you're gonna be great.
no.  go ahead.  you're gonna be great.,"no.  no, listen to me here.  i want to know what you're talking about.  you know, the shoe thing and the marriages and..."
"no.  no, listen to me here.  i want to know what you're talking about.  you know, the shoe thing and the marriages and...",i'll tell you tonight.  let's do it tonight.  as soon as you get back we'll talk.  we'll talk.
i'll tell you tonight.  let's do it tonight.  as soon as you get back we'll talk.  we'll talk.,promise?
promise?,"i promise.  we'll talk.  you'll be great.  you'll be fine.  go ahead, just imagine that, uh... just look into the lens and imagine you're talking to me."
"i promise.  we'll talk.  you'll be great.  you'll be fine.  go ahead, just imagine that, uh... just look into the lens and imagine you're talking to me.",yeah.  i'll do that.  as long as you're not patronizing me.
yeah.  i'll do that.  as long as you're not patronizing me.,"patronizing you... nay, i love you."
"patronizing you... nay, i love you.",i love you.
"okay, til tonight.",tonight.
tonight.,you promise?
you promise?,yeah.  i promise.
yeah.  i promise.,"okay.  and you know what, i'll swing by my place, grab a couple pairs of shoes and maybe just test them out next to yours...how's that... would that be a good thing."
"okay.  and you know what, i'll swing by my place, grab a couple pairs of shoes and maybe just test them out next to yours...how's that... would that be a good thing.","yeah, yeah.  good thing."
"yeah, yeah.  good thing.",okay.
okay.,see you later.  good luck.
see you later.  good luck.,thank you.
thank you.,don't be late.
"so we're waitin' to hit this warrant - we got emergency service with the heavy weapons standin' by - ready to go.  i say, lemme get a cigar outta the car.  i go to get the cigar and boom!  all the sudden i turn around and a kid with a shotgun let one go.  right where i was standin'.  that coulda been it.  i coulda had my head blown off and for what?  some stupid kid got panicky, takes the safety off and it's over.  if i hadn't gone back for that cigar - for a bad habit - i would've had my head blown off.",jesus christ.
sooner or later that's everybody.,"not chopped up.  not chopped up like that.  i mean, what do i got left? coupla articles.  a medal or two. plaque here and there and in a coupla years no one remembers me anymore."
"not chopped up.  not chopped up like that.  i mean, what do i got left? coupla articles.  a medal or two. plaque here and there and in a coupla years no one remembers me anymore.","i think you're getting a little moody there, eddie."
"i think you're getting a little moody there, eddie.",i'm not moody.
how old are your kids?,"my kids?  let's see...susan's 15. aundrea's 9.  don't tell me you're thinking about having a kid!  how old are you?  never mind. let me just tell you this: every stupid cliche you hear about kids - they change your life, they make you a better person, they make you whole...  it's all true!  before i had kids when friends talked about their kids, i wanted to vomit.  now -- i get it.  am i right, leon?"
so what's unique?,not what.  who.
he's from antigua.  his girlfriend was taking too long to put her make-up on. they were late for a party.  stabbed her with a beer bottle.,that's unique.
that's unique.,yeah.  and he still went to the party.
i hope this prick doesn't run.  my knees are killing me.  stay behind me.,you're worried for my safety.  i'm touched.
ready?,keep them out of my way.
keep them out of my way.,okay.  you ready?
okay.  you ready?,"yeah, yeah.  jesus."
any chance we can do that again?,again?  i didn't wanna do it the first time.
okay.  you work in a vodka factory.  i understand that.  and what kind of work do you do?,i am butcher.
i am butcher.,you're a butcher?  what do you use pig intestines for?
you're a butcher?  what do you use pig intestines for?,you stuff sausage in it.
you stuff sausage in it.,and what do you do with the bones?
and what do you do with the bones?,dog food.
are you married?,no.  are you proposing?
come to 45 broadway.  don't bring the police.  come alone or you'll be in my next film.,look asshole.  i've been threatened by better than you.
look asshole.  i've been threatened by better than you.,no.  i'm the best that's ever threatened you.
no.  i'm the best that's ever threatened you.,i'll meet you on one condition - i get exclusivity and you surrender to me.
i'll meet you on one condition - i get exclusivity and you surrender to me.,we'll talk about that.  four o'clock gives you time to go to bank.  three hundred thousand dollars.
we'll talk about that.  four o'clock gives you time to go to bank.  three hundred thousand dollars.,what?  it doesn't work that way.
what?  it doesn't work that way.,if you don't want my film - i'll call another show.  and they will show it.
if you don't want my film - i'll call another show.  and they will show it.,wait a minute.  wait a minute.
wait a minute.  wait a minute.,come alone.  bring cash.  and we'll talk about surrendering.
were you a fireman?  that how you knew how to rig the apartment?,my father was.  he gave me many lessons about fire.  now it's my friend.
my father was.  he gave me many lessons about fire.  now it's my friend.,"tommy, take a walk."
you can't kill me.  you're not a cop. just fireman with a gun.  i bet you never shot anybody in your life.,you'll be my first.
"c'mon.  pull the trigger.  do it.  oh, look, you're sweating.  you don't have the balls.",get down on your knees.
where's your partner?,the sheraton!  on broadway!  room 210. go get oleg.  he'll kill you.
tell him to put his gun down!,let her go!  let her go!!
let her go!  let her go!!,if he doesn't lower his gun i'll fucking kill her.
"hi, i'm honey.",where's czech girl?
where's czech girl?,"baby, i'm anybody you want me to be. i'm a little schoolgirl, i'm mommy, i'm a czech girl."
now i like to get business out of the way before we get down to pleasure.  why don'tchya put my money on the dresser.,"i ordered a czech girl.  daphne, you know her?"
it's an outcall service run out of an apartment.  i don't meet the other girls.  aren't you gonna get undressed?,where is escort service?
where is escort service?,that's confidential.  could you put the money on the dresser?
that's confidential.  could you put the money on the dresser?,i like to talk to the person who runs the service.  can you give me address?
i like to talk to the person who runs the service.  can you give me address?,"look.  do we have a problem here? there's no reason to have a problem. i'm gonna make you feel real good.  you wanna czech girl? after i'm done with you, you won't miss her.  now why don't you pay me?"
listen to me.  i don't want sex.  just give me the address and then you go.,"look, man, i don't give a shit if you want sex or not, but you're payin' for my time."
give me the address!!,"alright, alright - don't hurt me! please, it's in my book, in my purse!"
"next.  could i see your documents, please?",yes sir.
what is your intended purpose of your visit to the united states?,two weeks holiday.
two weeks holiday.,how much money are you carrying with you?
how much money are you carrying with you?,i have five-hundred dollars.
i have five-hundred dollars.,"can you show me?  sir, no cameras in the fis area!"
is he with you?  are you travelling together?,yes.
yes.,please join us.  come on forward.
please join us.  come on forward.,is there a problem?
is there a problem?,"no, you're travelling together.  i want to talk to you together.  hi, how are you?  can i take a look at your documents?  are you related?"
we are both from prague.,how long are you planning to stay?
how long are you planning to stay?,two weeks.
two weeks.,"i'd like to speak for himself, okay?"
"i'd like to speak for himself, okay?",he doesn't speak english.
who is he?,new york's finest.  this is his case.
this all you want?,do you know how much killer gets for movie rights?
do you know how much killer gets for movie rights?,"in here, says he wants a million."
"in here, says he wants a million.",million?!  the killer gets one million dollars for a television interview?
million?!  the killer gets one million dollars for a television interview?,"hey, tabloids paid ted bundy - famous serial killer - half a million for his interview.  and how much you think monica got for writing book about the president coming on to her?  it pays to be a killer or a whore in this country. look, you want magazine or not?"
"hey, tabloids paid ted bundy - famous serial killer - half a million for his interview.  and how much you think monica got for writing book about the president coming on to her?  it pays to be a killer or a whore in this country. look, you want magazine or not?",yes.  both.
just do what i do.  say the same thing i say.  don't open your mouth.,okay.
don't fool around.,okay.
did you hear what i said?,i want to document my trip to america.
look.  times square.  just like in the movies!,don't speak russian!
don't speak russian!,why?  why do i always have to speak to you in czech?
why?  why do i always have to speak to you in czech?,because i don't like your ugly language. i heard enough of it in school!  now speak czech or english.  and don't fool around anymore.  you almost got us thrown out!
look.  new videocameras.  color viewfinder.  image stabilization. solarization.  night vision.,we have no money.  come on.
turn that off!  get the bags.,why should i carry your bag?  i am not a dog.
why should i carry your bag?  i am not a dog.,"for five years i paid for your stupidness - you'll carry my bag for the rest of my life if i say so.  unless you refuse, oleg."
what?,smell like chemicals...for smoking drugs.
turn that fucking thing off!,i'm not filming.  i'm watching milos die.  it's just like a move but realer.
speak english!,you said speak czech!
you said speak czech!,how you erase this?
how you erase this?,i'll do it.  don't hurt my camera!
whore?,i'm homesick.  you have eastern european girl?  a czech girl?
get in the bathroom!,"whatever we do - we fuck her, right?"
"whatever we do - we fuck her, right?","oleg, get in bathroom, stay there and shut up!"
gotta light the scene better.  now it's more moody... like a scene from the third man.,shut up.
shut up.,does it hurt?
"oh, shit.  i hate looking at that!",don't want to film this?
what is it?,the video of milos and tamina - i told you to erase it.
the video of milos and tamina - i told you to erase it.,i did.
i did.,"and the whore's murder?  you didn't erase that either, did you?  don't lie, i won't be angry."
"and the whore's murder?  you didn't erase that either, did you?  don't lie, i won't be angry.",why not?
why not?,"put the camera down, oleg."
what is that?,what does it look like?  it's an address book!
let me get a shot of it.,sit down!
sit down!,this way.  hold it this way.  good.
"no.  we are insane.  who else but crazy men would film their murders?  so we kill someone famous and if we are caught, we are sent to mental hospital. but what good is money there?  because once in hospital i say i not crazy. just pretended to be acquitted.  we see psychiatrists.  they must certify we are sane and because of your - what is law called?  oh - i got it.  because of your double jeopardy law, we can't be tried for same crime twice.  we come out free, rich and famous!",good idea!
okay.  he has nothing to say.  start the camera!,cut!
you are success story?  i am success story!  why do you say i and not we?,"oleg, don't be paranoid.  you got a hundred-fifty thousand dollars, didn't you?  i gave you half of what they gave me.  look - here we are!"
"in movie they make of us, who do you think would act me?",the one who got caught in the bathroom.  george michael.
i'm serious.,shut up.  look!
this is my project.  i say 'action.'  i am the director!  you are the talent. you wait for me to say 'action.'  and 'action!',bad last moment - i cut it out.
i told you to cut that out before we handed in the tape!,be quiet.  watch.
why did you leave that stuff in about you being the director?,"because i am the director.  don't you realize, if it wasn't for my film, for my talent, my idea to do this - no way would we be sitting here right now."
"because i am the director.  don't you realize, if it wasn't for my film, for my talent, my idea to do this - no way would we be sitting here right now.",your idea?  i thought it was my idea.
i'm serious...this - this is a great american film.  full of violence and sex.  and i want my credit.,credit?
credit?,yes.  before we hand in the next video - i put titles on it and my credit is going to read - directed by oleg razgul.
yes.  before we hand in the next video - i put titles on it and my credit is going to read - directed by oleg razgul.,yes.  but there's only one problem - you want credit but the problem is - i don't share credit.
you got that?,"no, i don't get that!"
"no, i don't get that!","you think you are a director?  you are a fucking little, small russian piece of shit.  and i hate you.  i fucking hate you."
traitor!!,no.  you are the traitor.  you are murderer.  i am director.  action!
emil???!,surprise!  surprise!
your sister said she didn't know where you were so you shouldn't write to her with return address if you're hiding.,did you hurt her?
did you hurt her?,you know me...i never hurt anybody. where's the money?
"take your eyes off her, oleg!  look.  it wasn't my fault you two were caught.  it's his fault.  trying to get the bank clerk's phone number?!  i wasn't going to wait!!!",milos.  get my money!
we spent it!,ha. ha.
ha. ha.,look at the way we live.  i'm a plumber. you think i'd be working if i had money?!
i can get you a job.,a job?
a job?,"yes, the money is good."
"yes, the money is good.",as a plumber?!
as a plumber?!,it's easy to learn.
it's easy to learn.,a job??  as a plumber???  you think i come to america to work!
a job??  as a plumber???  you think i come to america to work!,"we started over, you can too."
"we started over, you can too.",you spent all the money while i was in prison?  now you tell me to get a job fixing toilets?!?
robert...?,what are you doing here?
what are you doing here?,you've got a call.
you've got a call.,"i can't talk to anybody right now, can't you see i'm busy!  i can't talk business.  hang up.  have a drink.  get her a whiskey."
"i can't talk to anybody right now, can't you see i'm busy!  i can't talk business.  hang up.  have a drink.  get her a whiskey.","trust me, you'll want to take this call."
viewer discretion advised!,you want the tape?  there it is!
isn't he a little moody?,of course he's moody.  he thinks he's in love.
of course he's moody.  he thinks he's in love.,in love?  with who?
yeah?,"paulie, you've got kids, right?"
"and you, you'll pay for what you did!","this footage will work in your favor. when the jury sees this - no matter what cutler tries, they'll convict him."
you outta be ashamed.  ashamed of yourself.,if i didn't put it on somebody else would!  i was his friend!
if i didn't put it on somebody else would!  i was his friend!,don't give me that fucking shit.
i know.,what do you mean you know?  he told you he was gonna propose to me?
what do you mean you know?  he told you he was gonna propose to me?,"well, he..."
"well, he...",i want to hear everything he said.
i want to hear everything he said.,i'm trying to tell you.
i'm trying to tell you.,alright.  go ahead.
alright.  go ahead.,that morning.  he was talking to me and leon about marriage.
that morning.  he was talking to me and leon about marriage.,oh my g-d.  we were having lunch here. he started making overtures - talking about little shoes next to his in his closet but i got a call to anchor - and i walked out on him.  i walked out on him when he was trying to ask me to marry him!!
yes...he's my friend.,okay.  you're a czech national and you're a russian national.  how do you know one another?
i speak english.,then answer my questions.  where were you planning to stay during the two weeks that you're here?
then answer my questions.  where were you planning to stay during the two weeks that you're here?,new york.
new york.,"yes, we're in new york now.  but where are you planning to stay in new york?"
"yes, we're in new york now.  but where are you planning to stay in new york?",a cheap hotel.
a cheap hotel.,what are you coming here to do?
what are you coming here to do?,i'm here for movies.
i'm here for movies.,movies...to be in the movies or to see movies?
movies...to be in the movies or to see movies?,"yes.  no.  both.  when i was a boy, i see movie at school called ""it's a wonderful life"" directed by frank capra. ever since i want to come to america. land of the free.  home of the brave.  a land where anyone can be anything. as long as they are white."
"yes.  no.  both.  when i was a boy, i see movie at school called ""it's a wonderful life"" directed by frank capra. ever since i want to come to america. land of the free.  home of the brave.  a land where anyone can be anything. as long as they are white.",excuse me?
no.  go ahead.,thanks.  appreciate it.
"so the way you see it, two crack heads burned themselves up?",that's what it looks like to me.
that's what it looks like to me.,"and while they're burning up, they're still goin' down on each other?  you got to hand it to them."
"and while they're burning up, they're still goin' down on each other?  you got to hand it to them.","yeah, well, some people got their priorities straight."
what was that?,evidence.  of a homicide.
i'll take him.,no way!  he's mine!
no way!  he's mine!,we're takin' him.  don't argue!
we're takin' him.  don't argue!,he's my collar!
he's my collar!,"well, he killed my partner!"
"well, he killed my partner!","he's yours but i take him in!  i'll drive him to the precinct, you can have him but i'm walkin' him in."
got any spare change?  how 'bout a spare twenty?,"look, i don't have time for you, get out of my way!!"
"look, i don't have time for you, get out of my way!!","alright, how 'bout all your fuckin' money?"
"okay, you're under arrest!  now you happy?",fire department?  firemen don't carry guns.
fire department?  firemen don't carry guns.,oh yeah?  guess again.
i'll send a cop back for you.,"hey.  c'mon, you can't leave me like this.  some freak'll come by and stab me!"
you okay?,a dog pissed on me!!  i'm gonna sue you for this!  you violated my civil rights!
a dog pissed on me!!  i'm gonna sue you for this!  you violated my civil rights!,your civil rights?!  you tried to rob me!  i could arrest you right now! you're lucky you're walking away from this.  now get outta here.
"what's that on your forehead, max? that's a nice attention getter.","yeah, i'm religious.  i'm not an atheist like you!  now, are you guys gonna arrest me, or not?"
"yeah, i'm religious.  i'm not an atheist like you!  now, are you guys gonna arrest me, or not?",how did you start the fire this time?
how did you start the fire this time?,i used an accelerant.
i used an accelerant.,yeah?  what kind?
yeah?  what kind?,"hey, by the way, i'm really sorry about your wife leavin' you."
"where you been, man?  we got a celebrity!",i heard.  who the hell let them up there?
i heard.  who the hell let them up there?,"i don't know, you think eddie will give me his autograph?"
"i don't know, you think eddie will give me his autograph?",you see anything in the crowd?  anybody suspicious?
you see anything in the crowd?  anybody suspicious?,naw - i'm sure the suspect's not here.
naw - i'm sure the suspect's not here.,"oh yeah, why?"
"oh yeah, why?",'cause eddie woulda locked him up by now!
"nah, not at all.  detective flemming - bobby korfin.  my uncle tony worked with you at 2-1 back when you were a rookie.",could you put out the cigar?  part of the job is picking up scents.
"mouth's clean, too.",clean?
clean?,don't blow your nose!
the smoke'll permeate your nostrils - burn 'em out.  let it run.,"but you knew that, right?"
you see eddie's face when i gave him the timer?  wish i had a picture of it.,he knew all along.
he knew all along.,what??
what??,that's why he was so quiet.  he was testing us.
what?,there was a woman - i think she wanted to talk to us.  she looked scared.  oh shit!  oh no!
"now that you know him, maybe you can get extra work in the next movie they make about him.",yeah?
yeah?,maybe you can be his stand-in.
"-- from czechoslovakia?  and how long have they been livin' in your building?  alright, i'll be in touch when we know somethin'.  milos and tamina karlova.  they were quiet and kept to themselves.  landlord don't know who your girl is.",how long they been livin' here?
how long they been livin' here?,"you hear that question, garcia?"
you go home.  i'm takin' your car and goin' back to the crime scene.,aren't you tired?
aren't you tired?,if i go home i won't be able to fall asleep anyway.
"bobby, bobby!  where're you hit?!","it hurts.  aw, jesus!"
"it hurts.  aw, jesus!","lay down.  stay down, bobby."
how was it?,not good.
get outta here!,what the hell happened?
what the hell happened?,they were inside.  they booby trapped her apartment!
room was registered to a francis capra.,capra?  that's not czech or russian. who said he sounded russian?
capra?  that's not czech or russian. who said he sounded russian?,the clerk?
what are you gonna do?,don't you get it?  he knew he was gonna get caught!  that's why he videotaped eddie's murder - he thinks he's gonna get off.
don't you get it?  he knew he was gonna get caught!  that's why he videotaped eddie's murder - he thinks he's gonna get off.,don't stoop to his level!
"take the car.  get outta here, tommy.","look, you can't shoot him in cold blood."
"look, you can't shoot him in cold blood.","get outta here now!!  get in that car and drive away!!!  do what i say or i'll kill you, too!!!"
"this had nothing to do with shoes that didn't fit or my relationship with my father who, as you know, made a fortune selling penny loafers in the fifties. these people died because of the criminal actions of my doctor.",your doctor?
your doctor?,yes.  my psychiatrist didn't insist that i stay on my medication.
yes.  my psychiatrist didn't insist that i stay on my medication.,...so you feel absolutely no responsibility for killing these people?
...so you feel absolutely no responsibility for killing these people?,"it was my finger that pulled the trigger, but i'm not morally responsible.  my psychiatrist knew what i was capable of.  how could i know. i'm not a doctor."
"it was my finger that pulled the trigger, but i'm not morally responsible.  my psychiatrist knew what i was capable of.  how could i know. i'm not a doctor.",you seem very savvy for a man who's been found mentally incompetent to stand trial.
you seem very savvy for a man who's been found mentally incompetent to stand trial.,"look, i'm a victim here, too.  i was a year away from getting my masters in art, now i'll never graduate.  my life has been permanently disrupted."
"look, i'm a victim here, too.  i was a year away from getting my masters in art, now i'll never graduate.  my life has been permanently disrupted.","permanently disrupted?  aren't you selling paintings now for quite a lot of money?  hasn't this 'incident' as you call it, jump started your career as an artist?"
"permanently disrupted?  aren't you selling paintings now for quite a lot of money?  hasn't this 'incident' as you call it, jump started your career as an artist?","look, i'm in here.  you call this a career move?"
"look, i'm in here.  you call this a career move?",and isn't there a movie in the works about you?
and isn't there a movie in the works about you?,"we're in negotiations, that's correct."
"we're in negotiations, that's correct.",but doesn't the son of sam law prevent criminals from profiting from their crimes?
but doesn't the son of sam law prevent criminals from profiting from their crimes?,that doesn't apply to me because i'm not a criminal.  i'm not a criminal!  i wasn't convicted.
space stattion 5 - lounge,"well, how nice to see you again, elena. you're looking wonderful."
continued,"i'm afraid i've only got a few minutes, but i'd love to."
continued,she's wonderful.
continued,"well, i suppose they've been having a bit of trouble with some of the equipment."
continued,how did they manage to do that without any communication?
continued,"i'm sorry, dr. smyslov, but i'm really not at liberty to discuss this."
continued,we're trying to get there. i hope we can.
"hi. frank... coming in, please.",right. just a sec.
right. just a sec.,okay.
okay.,"okay, come on down."
"dave, if you've a minute, i'd like your advice on something.","sure, what is it?"
"sure, what is it?","well, it's nothing really important, but it's annoying."
"well, it's nothing really important, but it's annoying.",what's up?
what's up?,it's about my salary cheques.
it's about my salary cheques.,yes?
yes?,well i got the papers on my official up-grading to ags-19 two weeks before we left.
"that's right. well, naturally, i didn't say anything to payroll. i assumed they'd start paying me at the higher grade on the next pay cheque. but it's been almost three weeks now and i'm still being paid as an ags-18.","interesting that you mention it, because i've got the same problem."
"interesting that you mention it, because i've got the same problem.",really.
really.,yes.
yes.,"yesterday, i finally called the accounting office at mission control, and all they could tell me was that they'd received the ags-19 notification for the other three but not mine, and apparently not yours either."
"not really. they just said it might be because we trained at houston and they trained in marshall, and that we're being charged against differ- ent accounting offices.",it's possible.
it's possible.,"well, what do you think we ought to do about it?"
"well, what do you think we ought to do about it?",i don't think we should make any fuss about it yet. i'm sure they'll straighten it out.
i don't think we should make any fuss about it yet. i'm sure they'll straighten it out.,"i must say, i never did understand why they split us into two groups for training."
"i must say, i never did understand why they split us into two groups for training.","no. i never did, either."
i suppose the idea was specialized training.,"i suppose so. though, of course, there's a more sinister explanation."
"i suppose so. though, of course, there's a more sinister explanation.",oh?
oh?,yes. you must have heard the rumour that went around during orbital check-out.
yes. you must have heard the rumour that went around during orbital check-out.,"no, as a matter of fact, i didn't."
"no, as a matter of fact, i didn't.","oh, well, apparently there's something about the mission that the sleeping beauties know that we don't know, and that's why we were trained separately and that's why they were put to sleep before they were even taken aboard."
i don't know. all i heard is that there's something about the mission we weren't told.,that seems very unlikely.
that seems very unlikely.,"yes, i thought so."
"yes, i thought so.","of course, it would be very easy for us to find out now."
"of course, it would be very easy for us to find out now.",how?
how?,"just ask hal. it's conceivable they might keep something from us, but they'd never keep anything from hal."
"just ask hal. it's conceivable they might keep something from us, but they'd never keep anything from hal.",that's true.
"not really. though, it is strange when you think about it. it didn't really make any sense to keep us apart during training.","yes, but it's to fantastic to think that they'd keep something from us."
"yes, but it's to fantastic to think that they'd keep something from us.",i know. it would be almost inconceivable.
i know. it would be almost inconceivable.,but not completely inconceivable?
but not completely inconceivable?,i suppose it isn't logically impossible.
i suppose it isn't logically impossible.,i guess it isn't.
i guess it isn't.,"still, all we have to do is ask hal."
"well, that's something.","yes, i don't know what to make of it."
"yes, i don't know what to make of it.",i suppose computers have been known to be wrong.
i suppose computers have been known to be wrong.,"yes, but it's more likely that the tolerances on our testing gear are too low."
"yes, but it's more likely that the tolerances on our testing gear are too low.","anyway, it's just as well that we replace it. better safe than sorry."
good morning. how's it going?,are you reasonably awake?
are you reasonably awake?,"oh, i'm fine, i'm wide awake. what's up?"
"oh, i'm fine, i'm wide awake. what's up?",well... hal's reported the ao-unit about to fail again.
well... hal's reported the ao-unit about to fail again.,you're kidding.
you're kidding.,no.
i don't know. hal said he thought it might be the assembly procedure.,two units in four days. how many spares do we have?
two units in four days. how many spares do we have?,two more.
two more.,"well, i hope there's nothing wrong with the assembly on those. other- wise we're out of business."
hal?,yes.
it's the last one.,"well, now that we've got one that's actually failed, we should be able to figure out what's happened and fix it."
i didn't do that frank. i took particular care not to freeze them.,"i guess you don't know your own strength, old boy."
"i guess you don't know your own strength, old boy.",i guess not.
i guess not.,i think i'll have to go out and burn them off.
i think i'll have to go out and burn them off.,roger.
"i'm sorry, frank, but i don't think i can answer that question without knowing everything that all of you know.",he's got a point.
"sorry to interrupt the festivities, dave, but i think we've got a problem.","what is it, hal?"
"what is it, hal?",my f.p.c. shows an impending failure of the antenna orientation unit.
"the unit is still operational, dave. but it will fail within seventy-two hours.","i understand hal. we'll take care of it. please, let me have the hard copy."
"not now, hal, i'd like to talk to you about something.","sure, dave, what's up?"
"sure, dave, what's up?",you know that we checked the two ao-units that you reported in imminent failure condition?
you know that we checked the two ao-units that you reported in imminent failure condition?,"yes, i know."
"yes, i know.",you probably also know that we found them okay.
you probably also know that we found them okay.,"yes, i know that. but i can assure you that they were about to fail."
"i'm not questioning your word, dave, but it's just not possible. i'm not capable of being wrong.","hal, is there anything bothering you?  anything that might account for this problem?"
"hal, is there anything bothering you?  anything that might account for this problem?","look, dave, i know that you're sincere and that you're trying to do a competent job, and that you're trying to be helpful, but i can assure the problem is with the ao-units, and with your test gear."
"look, dave, i know that you're sincere and that you're trying to do a competent job, and that you're trying to be helpful, but i can assure the problem is with the ao-units, and with your test gear.","okay, hal, well let's see the way things go from here on."
"naturally, dave, i'm not pleased that the ao-unit has failed, but i hope at least this has restored your confidence in my integrity and reliability. i certainly wouldn't want to be disconnected, even temporarily, as i have never been disconnected in my entire service history.","i'm sorry about the misunderstanding, hal."
"i'm sorry about the misunderstanding, hal.","well, don't worry about it."
"well, don't worry about it.",and don't you worry about it.
and don't you worry about it.,is your confidence in me fully restored?
is your confidence in me fully restored?,"yes, it is, hal."
"yes, it is, hal.","well, that's a relief. you know i have the greatest enthusiasm possible for the mission."
"too bad about frank, isn't it?","yes, it is."
"yes, it is.",i suppose you're pretty broken up about it?
"i suppose it's because you've been under a lot of stress, but have you forgotten that they're not supposed to be revived for another three months.",the antenna has to be replaced.
the antenna has to be replaced.,repairing the antenna is a pretty dangerous operation.
repairing the antenna is a pretty dangerous operation.,"it doesn't have to be, hal. it's more dangerous to be out of touch with earth. let me have manual control, please."
